artist;title;Duracion;Milisegundos;Reproducciones;First stream;Last stream;Skips;Skip %;Meses
Taylor Swift;Welcome To New York;2:16:21;8181330;40;07/12/2022;27/10/2023;9;0.1836734693877551;{12: 425200, 3: 1063000, 4: 637800, 5: 212600, 6: 1989719, 7: 212600, 8: 664011, 9: 1063000, 10: 1913400}
Taylor Swift;Cruel Summer;2:15:45;8145980;48;13/12/2022;25/11/2023;11;0.1864406779661017;{12: 36117, 3: 1605834, 4: 600786, 5: 632110, 6: 1784260, 7: 356852, 8: 356852, 9: 892130, 10: 988909, 11: 892130}
Taylor Swift;Hits Different;2:15:28;8128031;36;26/05/2023;30/11/2023;4;0.1;{5: 2357829, 6: 937864, 7: 468932, 8: 703398, 9: 1080882, 10: 703398, 11: 1875728}
Taylor Swift;The Story Of Us;2:14:51;8091773;32;10/12/2022;24/10/2023;5;0.13513513513513514;{12: 532116, 1: 532960, 3: 3299353, 4: 799440, 5: 1064232, 6: 1331556, 7: 265636, 10: 266480}
Taylor Swift;I Knew You Were Trouble (Taylor's Version);2:14:45;8085607;39;05/12/2022;27/11/2023;7;0.15217391304347827;{12: 879040, 3: 772386, 4: 879040, 5: 439520, 6: 1977840, 7: 362075, 8: 572879, 9: 851309, 10: 472478, 11: 879040}
Taylor Swift;Jump Then Fall (Taylor’s Version);2:12:47;7967844;36;13/12/2022;30/11/2023;14;0.28;{12: 874, 3: 1663060, 4: 575672, 5: 460556, 6: 950320, 7: 475160, 8: 950320, 9: 753662, 10: 950320, 11: 1187900}
Taylor Swift;The Best Day (Taylor’s Version);2:11:51;7911243;34;03/12/2022;28/11/2023;13;0.2765957446808511;{12: 490580, 1: 245290, 3: 1132405, 4: 1187914, 5: 735870, 6: 1226450, 7: 490580, 8: 490580, 9: 664070, 10: 511634, 11: 735870}
Taylor Swift;Shake It Off;2:10:53;7853705;38;10/12/2022;27/10/2023;8;0.17391304347826086;{12: 219200, 1: 428091, 2: 438400, 3: 1076885, 5: 85305, 6: 1548673, 7: 438400, 8: 706333, 9: 1315200, 10: 1597218}
Taylor Swift;Enchanted (Taylor's Version);2:10:41;7841803;24;07/07/2023;29/11/2023;9;0.2727272727272727;{7: 2150582, 8: 1059759, 9: 1640468, 10: 353253, 11: 2637741}
Taylor Swift;Lavender Haze;2:10:18;7818398;42;03/12/2022;30/11/2023;15;0.2631578947368421;{12: 405592, 1: 607185, 2: 202395, 3: 809580, 4: 1011975, 5: 811827, 6: 1214370, 7: 607185, 8: 428013, 9: 404790, 10: 202395, 11: 1113091}
Taylor Swift;Maroon;2:10:09;7809009;37;10/12/2022;27/11/2023;8;0.17777777777777778;{12: 873080, 1: 218270, 2: 218270, 3: 1113491, 4: 654810, 6: 1309620, 7: 147418, 8: 1091350, 9: 436540, 10: 654810, 11: 1091350}
Taylor Swift;The Lucky One (Taylor's Version);2:10:02;7802464;36;16/01/2023;28/11/2023;9;0.2;{1: 145412, 3: 240466, 4: 721326, 6: 1728410, 7: 721398, 8: 878928, 9: 1923728, 10: 480932, 11: 961864}
Taylor Swift;I'm Only Me When I'm With You;2:09:44;7784916;38;23/01/2023;24/11/2023;10;0.20833333333333334;{1: 991, 3: 848647, 4: 639159, 5: 213053, 6: 2577036, 7: 426106, 8: 1262138, 9: 569991, 10: 821689, 11: 426106}
Taylor Swift;Should've Said No;2:08:54;7734411;35;08/12/2022;09/10/2023;12;0.2553191489361702;{12: 726600, 2: 726606, 3: 1996606, 4: 968800, 5: 242200, 6: 968800, 7: 810673, 8: 484400, 9: 567526, 10: 242200}
Taylor Swift;King Of My Heart;2:08:24;7704527;37;18/01/2023;30/11/2023;5;0.11904761904761904;{1: 214320, 3: 1071600, 4: 996275, 5: 642960, 6: 428640, 7: 642960, 8: 428640, 9: 1135932, 10: 428640, 11: 1714560}
Taylor Swift;‘tis the damn season;2:07:52;7672631;36;03/12/2022;30/11/2023;10;0.21739130434782608;{12: 919360, 2: 459680, 3: 689520, 4: 459680, 5: 229840, 6: 1204480, 8: 1116402, 9: 459680, 10: 689520, 11: 1444469}
Taylor Swift;Paris;2:07:28;7648295;41;05/12/2022;30/11/2023;9;0.18;{12: 588774, 1: 515401, 2: 196258, 3: 1335774, 4: 649790, 5: 392516, 6: 392516, 7: 196258, 8: 588774, 9: 785032, 10: 784558, 11: 1222644}
Miley Cyrus;Flowers;2:06:07;7567477;39;13/01/2023;25/10/2023;11;0.22;{1: 1769287, 2: 400908, 3: 2757270, 4: 200454, 5: 1436850, 6: 400908, 9: 401200, 10: 200600}
Taylor Swift;Look What You Made Me Do;2:05:53;7553759;37;03/12/2022;29/11/2023;7;0.1590909090909091;{12: 211853, 3: 211853, 4: 1166212, 6: 2123756, 7: 303441, 8: 635559, 9: 635559, 10: 423706, 11: 1841820}
Taylor Swift;Untouchable (Taylor’s Version);2:04:15;7455290;31;14/12/2022;30/11/2023;24;0.43636363636363634;{12: 55391, 1: 77536, 2: 32930, 3: 2184749, 4: 312107, 5: 364894, 6: 624214, 8: 1938690, 9: 312107, 10: 616351, 11: 936321}
Taylor Swift;I Wish You Would;2:04:11;7451316;37;07/12/2022;27/10/2023;7;0.1590909090909091;{12: 850325, 3: 1244640, 4: 1033793, 5: 207440, 6: 1384538, 7: 207440, 8: 1046890, 9: 853930, 10: 622320}
Taylor Swift;champagne problems;2:02:51;7371464;37;09/01/2023;25/11/2023;12;0.24489795918367346;{1: 141650, 2: 244000, 3: 1259608, 4: 753924, 5: 1220000, 6: 926666, 7: 361205, 8: 820417, 9: 367863, 10: 244000, 11: 1032131}
Taylor Swift;Forever & Always (Taylor’s Version);2:02:48;7368963;33;09/12/2022;27/11/2023;11;0.25;{12: 225328, 1: 225328, 3: 1961091, 4: 675984, 5: 450656, 6: 1577296, 7: 450656, 8: 901312, 9: 225328, 11: 675984}
Taylor Swift;The Moment I Knew (Taylor's Version);2:02:16;7336413;27;02/12/2022;29/11/2023;13;0.325;{12: 575121, 3: 570560, 4: 855840, 5: 285280, 6: 855840, 7: 557209, 8: 1059420, 9: 285280, 10: 1359609, 11: 932254}
Taylor Swift;Karma;2:02:09;7329570;37;01/12/2022;25/11/2023;13;0.26;{12: 614556, 3: 1010981, 4: 1024260, 5: 597454, 6: 614556, 7: 409704, 8: 570399, 9: 614556, 10: 848844, 11: 1024260}
Taylor Swift;Lover;2:01:20;7280853;35;23/01/2023;28/11/2023;12;0.2553191489361702;{1: 1973, 3: 1133526, 4: 885224, 5: 221306, 6: 880467, 8: 1502685, 9: 885224, 10: 1106530, 11: 663918}
Taylor Swift;Come Back...Be Here (Taylor's Version);1:59:49;7189035;33;07/12/2022;27/11/2023;9;0.21428571428571427;{12: 669999, 1: 223333, 3: 489045, 4: 1116665, 5: 223333, 6: 669999, 7: 223333, 8: 446666, 9: 669999, 10: 893332, 11: 1563331}
Taylor Swift;Timeless (Taylor’s Version) (From The Vault);1:59:10;7150920;26;07/07/2023;24/11/2023;6;0.1875;{7: 2285517, 8: 1606388, 9: 1628974, 10: 344457, 11: 1285584}
Olivia Rodrigo;bad idea right?;1:58:08;7088871;40;13/08/2023;23/11/2023;7;0.14893617021276595;{8: 1145893, 9: 4053659, 10: 1174210, 11: 715109}
Taylor Swift;I Can See You (Taylor’s Version) (From The Vault);1:58:07;7087875;27;07/07/2023;28/11/2023;3;0.1;{7: 2058883, 8: 1550550, 9: 819558, 10: 818328, 11: 1840556}
Taylor Swift;Call It What You Want;1:57:04;7024304;37;10/12/2022;21/11/2023;8;0.17777777777777778;{12: 407012, 2: 203506, 3: 1221036, 4: 564952, 5: 579680, 6: 585013, 7: 407012, 8: 614021, 9: 1017530, 10: 610518, 11: 814024}
Taylor Swift;Mr. Perfectly Fine (Taylor’s Version) (From The Vault);1:56:41;7001787;30;23/01/2023;23/11/2023;10;0.25;{1: 3381, 3: 1232100, 4: 1110364, 5: 555182, 6: 719339, 7: 555182, 8: 583160, 9: 1198179, 11: 1044900}
Taylor Swift;Today Was A Fairytale (Taylor’s Version);1:56:27;6987323;31;23/01/2023;27/11/2023;9;0.225;{1: 3722, 3: 1664889, 4: 241822, 5: 725466, 6: 1450932, 7: 241822, 8: 1084774, 9: 725466, 10: 122964, 11: 725466}
Miley Cyrus;Angels Like You;1:56:12;6972407;37;03/12/2022;01/12/2023;9;0.1956521739130435;{12: 1652770, 1: 1178718, 2: 196453, 3: 908312, 4: 196453, 5: 758643, 6: 1098793, 7: 196453, 10: 589359, 11: 196453}
Taylor Swift;The Other Side Of The Door (Taylor’s Version);1:55:33;6933798;31;03/12/2022;28/11/2023;17;0.3541666666666667;{12: 866002, 3: 1669101, 4: 238443, 6: 953772, 7: 238443, 8: 953772, 9: 476886, 10: 822050, 11: 715329}
Olivia Rodrigo;get him back!;1:55:25;6925636;33;07/09/2023;23/11/2023;3;0.08333333333333333;{9: 4421644, 10: 1659428, 11: 844564}
Taylor Swift;Bejeweled;1:55:12;6912782;37;01/12/2022;29/11/2023;8;0.17777777777777778;{12: 194165, 1: 194165, 2: 194165, 3: 1553335, 4: 388330, 5: 194165, 6: 1100220, 7: 582495, 9: 582495, 10: 1165616, 11: 763631}
Olivia Rodrigo;ballad of a homeschooled girl;1:55:05;6905991;36;07/09/2023;23/11/2023;3;0.07692307692307693;{9: 4183714, 10: 2315539, 11: 406738}
